date,symbol,pred,pred_score,volatility,volatility_short,macd_diff,bba,Close,Volume,EarningsPerShareBasic,strategy
2020-12-22,NK,0,0.3083830878181464,0.11531262986708864,0.1943683446288594,0.581086028318047,9.364498705216434,17.61,15873390.0,-0.39,Breakout
2020-12-22,NK,0,0.3083830878181464,0.11531262986708864,0.1943683446288594,0.581086028318047,9.364498705216434,17.61,15873390.0,-0.39,Bollinger
2020-12-22,RIOT,0,0.3021570902730122,0.10806154250497746,0.24374406921533118,0.23149717214062915,6.99398055776259,14.645,70429672.0,-0.31,MACD
2020-12-22,PIH,0,0.3555677411472057,0.09480213422636527,0.11461781016903536,0.10353964044791594,1.5621725204341352,3.81,33763.0,-1.91,MACD
2020-12-22,SLGG,0,0.3601971366765055,0.08407411321818774,0.20339124005164583,0.08739863860893177,1.4592655687020377,3.4,2872213.0,-1.07,Breakout
2020-12-22,SLGG,0,0.3601971366765055,0.08407411321818774,0.20339124005164583,0.08739863860893177,1.4592655687020377,3.4,2872213.0,-1.07,Bollinger
2020-12-22,AMTX,0,0.38399942334878107,0.08309650596233858,0.24468415347246666,0.0908933634068397,1.1000995409534555,3.19,48071031.0,-0.48,Bollinger
2020-12-22,PTN,0,0.35903926693470006,0.06744497393987292,0.2273073537837133,0.007248434502676514,0.12455665418771278,0.565,21189789.0,-0.03,MACD
2020-12-22,SYRS,0,0.33556810927903796,0.06267931670266803,0.0805088048176151,0.4208685496117729,7.7474772668272145,14.03,1421010.0,-0.77,Breakout
2020-12-22,SYRS,0,0.33556810927903796,0.06267931670266803,0.0805088048176151,0.4208685496117729,7.7474772668272145,14.03,1421010.0,-0.77,Bollinger
2020-12-22,DTIL,0,0.33404307548935785,0.06167560585965369,0.1044151856734908,0.0011985511017685649,7.118231802912824,10.01,1649642.0,-0.63,MACD
2020-12-22,BWEN,0,0.3889382511872857,0.061054640619972476,0.15975654533007635,0.06840891763208926,1.573494200801676,5.4,1010514.0,0.09,MACD
2020-12-22,EMAN,0,0.3767499173317514,0.05998294158119241,0.1709467067483659,0.04531349646294319,0.49704728146327015,1.7,8715034.0,-0.08,MACD
2020-12-22,EMAN,0,0.3851658598106782,0.05998294158119241,0.1709467067483659,0.04531349646294319,0.49704728146327015,1.7,8715034.0,-0.08,Breakout
